Load_ind,Definition Year,Species Code,Species Name,Area Code,Area Description,Level Code,Level Description,Initial Quantity,Adapted Quota,Eurlex Ref,OJ Ref,Publication Date,Page Number,In regulation,Compute uptake
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,BEL,Belgium,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,BGR,Bulgaria,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,CYP,Cyprus,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,DEU,Germany,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,DNK,Denmark,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,ESP,Spain,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,EST,Estonia,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,FIN,Finland,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,FRA,France,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,GBR,United Kingdom,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,GRC,Greece,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,HRV,Croatia,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,IRL,Ireland,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,ITA,Italy,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,LTU,Lithuania,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,LVA,Latvia,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,MLT,Malta,,,32017R2403,L347,2017-12-28,81,Y,Y
INIV,2019,AGO_CSQ,Angola direct agreement fishing category (Coastal State quota),DIR_AG,Direct Agreements,NLD,Netherlands,,,32017R2403,L347,2017-12-28,81,Y,Y
