Fleet,Metier,Year,kw_days
BE_Beam_10<24m,TBB_CRU_27.7.d_27.7.d,2019,8717.22124
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2009,1758610.759445
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2010,2198143.082505
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2011,2088276.99568
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2012,1244683.0349
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2013,1073503.525955
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2014,1395575.022105
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2015,1393836.173355
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2016,1057122.50179
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2017,942510.8581
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2018,958256.252275
BE_Beam_10<24m,TBB_DEF_27.7.d_27.7.d,2019,1041171.316675
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2009,2651.998232
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2010,11618.284704
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2011,15672.855064
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2012,66201.775224
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2013,12376
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2014,4989.49932
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2015,32613.806336
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2016,5664.888496
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2017,14016
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2018,45650.884096
BE_Beam_10<24m,TBB_DEF_27.7.e_27.7.e,2019,24838.284704
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2009,132237.608157
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2010,79488
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2011,286201.27719
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2012,471733.99452
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2013,220239
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2014,224298
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2015,115019.76393
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2016,61216.998453
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2017,86976
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2018,100697.743539
BE_Beam_10<24m,TBB_DEF_27.7.f_27.7.f,2019,124867.927719
BE_Beam_10<24m,TBB_DEF_27.7.g_27.7.g,2009,48413.919312
BE_Beam_10<24m,TBB_DEF_27.7.g_27.7.g,2010,14586
BE_Beam_10<24m,TBB_DEF_27.7.g_27.7.g,2012,11990
BE_Beam_10<24m,TBB_DEF_27.7.g_27.7.g,2014,2431
BE_Beam_10<24m,TBB_DEF_27.7.g_27.7.g,2015,21879
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2009,10069309.29091
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2010,7768377.603955
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2011,7607231.581495
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2012,6527556.96465
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2013,7365988.29728
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2014,9776142.35567
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2015,9305310.462045
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2016,10096647.342375
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2017,9987746.13604
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2018,8977670.63864
BE_Beam_24<40m,TBB_DEF_27.7.d_27.7.d,2019,7412797.939635
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2009,2271015.559608
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2010,1941473.659528
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2011,3150223.322496
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2012,3466817.03744
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2013,2274069.456752
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2014,1129345.59964
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2015,2267830.390936
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2016,2395204.92868
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2017,3456594.55184
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2018,4625553.39568
BE_Beam_24<40m,TBB_DEF_27.7.e_27.7.e,2019,3376237.505992
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2009,7450954.435521
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2010,6786552.434958
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2011,7352724.83292
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2012,10107535.9599
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2013,10522006.960968
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2014,9749034.856251
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2015,10291322.79117
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2016,9671928.990408
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2017,7372236.377187
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2018,8500851.783387
BE_Beam_24<40m,TBB_DEF_27.7.f_27.7.f,2019,7648445.832921
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2009,8882682.032675
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2010,11953944.627559
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2011,13295963.755932
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2012,14635625.8147
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2013,14866364.306717
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2014,7330143.176202
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2015,7447685.943203
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2016,8925716.815301
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2017,12701230.150499
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2018,10474877.862779
BE_Beam_24<40m,TBB_DEF_27.7.g_27.7.g,2019,12139265.021829
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2009,29559.51472
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2010,211063.753448
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2011,69190.463632
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2012,97567.189824
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2013,25908.004368
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2014,224794.733088
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2015,554358.255016
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2016,828588.918024
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2017,992850.481528
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2018,1369279.214624
BE_Beam_24<40m,TBB_DEF_27.7.h_27.7.h,2019,1793869.408448
BE_Beam_24<40m,TBB_DEF_27.7.j_27.7.j,2017,36007.27428
BE_Beam_24<40m,TBB_DEF_27.7.j_27.7.j,2018,30613.61454
BE_Beam_24<40m,TBB_DEF_27.7.j_27.7.j,2019,6299.9964
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2009,117812.5489
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2010,64414.6486
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2011,100127.5
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2012,158130
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2013,24319.665615
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2014,46250.172865
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2015,22985.32966
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2016,21496.06757
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2017,7995
BE_Otter_24<40m,OTB_CRU_27.7.d_27.7.d,2019,214685
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2010,27000
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2011,99414
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2012,235634.2504
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2013,240133.329968
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2014,240817.719008
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2015,303350.927456
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2016,138082.279096
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2017,111726.854624
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2018,190109.70588
BE_Otter_24<40m,OTB_CRU_27.7.e_27.7.e,2019,136023.99812
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2009,659925
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2010,442846.056708
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2011,535911.748002
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2012,430059.726783
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2013,386586.271062
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2014,646610.13612
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2015,431770.049937
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2016,211931.438787
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2017,8146.927863
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2018,83657.467656
BE_Otter_24<40m,OTB_CRU_27.7.f_27.7.f,2019,24376.758048
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2009,4192694.005698
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2010,3095114.033891
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2011,2112116.263609
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2012,3056176.97814
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2013,2452955.651113
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2014,1794809.751009
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2015,1377610.358927
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2016,2130739.063057
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2017,1313392.283357
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2018,1989683.770404
BE_Otter_24<40m,OTB_CRU_27.7.g_27.7.g,2019,2270482.16791
BE_Otter_24<40m,OTB_CRU_27.7.h_27.7.h,2009,3528
BE_Otter_24<40m,OTB_CRU_27.7.h_27.7.h,2016,6612
BE_Otter_24<40m,OTB_CRU_27.7.h_27.7.h,2019,11280
BE_Otter_24<40m,OTB_CRU_27.7.j_27.7.j,2019,14100
BE_Otter_24<40m,OTB_DEF_27.7.d_27.7.d,2019,8520
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2010,474409.331785
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2011,699728.88476
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2012,792300
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2013,1066085
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2014,980105
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2015,997164.112
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2016,949158.456
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2017,956310
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2018,1153410
BE_Otter_24<40m,SSC_DEF_27.7.d_27.7.d,2019,927539.994
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2010,148640
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2011,211504
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2012,573208
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2013,307616
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2014,9600
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2015,114888
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2016,64992
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2017,44688
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2018,179520
BE_Otter_24<40m,SSC_DEF_27.7.e_27.7.e,2019,35088
BE_Otter_24<40m,SSC_DEF_27.7.f_27.7.f,2013,21600
BE_Otter_24<40m,SSC_DEF_27.7.g_27.7.g,2013,13200
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2009,111645
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2010,255393
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2011,1129095
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2012,922887
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2013,947763
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2014,1257561
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2015,972513
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2016,2158398
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2017,2418825.50748
ES_Otter_24<40m,OTB_DEF_27.7.b_27.7.b,2019,814749.3
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2009,3875298
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2010,492737
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2011,3430560
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2012,1867250
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2013,1397046
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2014,1913912
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2015,2467605
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2016,3399900
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2017,3051283.8349
ES_Otter_24<40m,OTB_DEF_27.7.c_27.7.c,2019,3238086.94496
ES_Otter_24<40m,OTB_DEF_27.7.g_27.7.g,2011,40447
ES_Otter_24<40m,OTB_DEF_27.7.g_27.7.g,2013,213829
ES_Otter_24<40m,OTB_DEF_27.7.g_27.7.g,2014,278036
ES_Otter_24<40m,OTB_DEF_27.7.g_27.7.g,2015,77055
ES_Otter_24<40m,OTB_DEF_27.7.g_27.7.g,2016,61644
ES_Otter_24<40m,OTB_DEF_27.7.g_27.7.g,2019,384974.59
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2009,7162328
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2010,2234824
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2011,1660320
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2012,3392408
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2013,2302800
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2014,1451168
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2015,1299536
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2016,992760
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2017,274189.8418
ES_Otter_24<40m,OTB_DEF_27.7.h_27.7.h,2019,436930.72
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2009,39208050
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2010,37495130
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2011,34805400
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2012,24606720
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2013,26350170
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2014,15306910
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2015,13744200
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2016,12834940
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2017,16080926.57129
ES_Otter_24<40m,OTB_DEF_27.7.j_27.7.j,2019,15481159.4528
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2009,3006984
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2010,9970376
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2011,2252072
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2012,2454056
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2013,1309232
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2014,1269048
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2015,916664
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2016,476080
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2017,931655.627696
ES_Otter_24<40m,OTB_DEF_27.7.k_27.7.k,2019,1359265.13568
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2009,243360
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2010,262580
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2011,319595
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2012,266470
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2013,391095
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2014,320165
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2015,322335
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2016,281310
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2017,209630
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2018,211540
FRA_Other_10<40m,DRB_all_27.7.d_27.7.d,2019,92500
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2009,16968
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2010,15248
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2011,36096
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2012,42672
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2013,87480
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2014,127472
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2015,6048
FRA_Other_10<40m,DRB_all_27.7.e_27.7.e,2016,9056
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2009,13085295
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2010,13107615
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2011,14969955
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2012,14696815
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2013,12651700
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2014,14437490
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2015,14345195
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2016,15681260
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2017,14999715
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2018,13300870
FRA_Other_10<40m,DRB_MOL_27.7.d_27.7.d,2019,12296645
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2009,6719696
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2010,6699984
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2011,6671032
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2012,6099312
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2013,6351600
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2014,6357928
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2015,5860592
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2016,5631632
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2017,5552304
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2018,5392784
FRA_Other_10<40m,DRB_MOL_27.7.e_27.7.e,2019,5170424
FRA_Other_10<40m,DRB_MOL_27.7.h_27.7.h,2009,20832
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2009,329436
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2010,263061
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2011,384327
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2012,289368
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2013,162252
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2014,147537
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2015,129096
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2016,198927
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2017,218142
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2018,188505
FRA_Other_10<40m,MIS_MIS_27.7.b_27.7.b,2019,156429
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2009,587874
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2010,167923
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2011,121891
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2012,653065
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2013,214816
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2014,212674
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2015,191583
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2016,229999
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2017,186655
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2018,101332
FRA_Other_10<40m,MIS_MIS_27.7.c_27.7.c,2019,186571
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2009,2318050
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2010,1880990
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2011,2281135
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2012,3447665
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2013,4796610
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2014,4522515
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2015,5181625
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2016,5141150
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2017,4180640
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2018,3358255
FRA_Other_10<40m,MIS_MIS_27.7.d_27.7.d,2019,4062590
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2009,4350232
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2010,5053488
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2011,5823944
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2012,6793520
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2013,7968576
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2014,7392864
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2015,5891560
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2016,4404888
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2017,3612200
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2018,3477944
FRA_Other_10<40m,MIS_MIS_27.7.e_27.7.e,2019,2871280
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2009,119637
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2010,213003
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2011,205092
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2012,799695
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2013,677907
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2014,513666
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2015,248274
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2016,149058
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2017,132966
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2018,86364
FRA_Other_10<40m,MIS_MIS_27.7.f_27.7.f,2019,71163
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2009,540969
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2010,695959
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2011,560428
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2012,1845987
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2013,1927112
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2014,1363901
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2015,986865
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2016,972400
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2017,941633
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2018,759968
FRA_Other_10<40m,MIS_MIS_27.7.g_27.7.g,2019,550990
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2009,1343632
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2010,1403608
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2011,2262640
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2012,3907656
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2013,4121144
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2014,3732952
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2015,3794704
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2016,2599688
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2017,2351512
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2018,1689408
FRA_Other_10<40m,MIS_MIS_27.7.h_27.7.h,2019,1207296
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2009,2346510
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2010,1827220
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2011,3161240
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2012,3734930
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2013,4579300
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2014,2484990
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2015,3983150
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2016,2891230
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2017,2611240
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2018,2174080
FRA_Other_10<40m,MIS_MIS_27.7.j_27.7.j,2019,1840460
FRA_Other_10<40m,MIS_MIS_27.7.k_27.7.k,2009,1162848
